,High,Close,Company,Open,Low
0,15.28,14.80,Box,15.09,14.72
1,15.12,15.04,Box,14.78,14.72
2,15.14,14.77,Box,14.94,14.46
3,14.85,14.79,Box,14.31,14.04
4,14.685,14.64,Box,14.41,14.25
5,14.55,14.51,Box,14.28,14.251
6,14.21,14.05,Box,13.88,13.728
7,14.03,13.92,Box,13.83,13.62
8,14.25,13.84,Box,14.08,13.65
9,14.472,14.13,Box,14.41,14.00
10,14.566,14.42,Box,14.52,14.291
11,14.77,14.52,Box,14.55,14.44
12,14.90,14.53,Box,14.82,14.47
13,15.07,14.71,Box,14.98,14.71
14,15.25,15.05,Box,15.24,14.97
15,15.51,15.24,Box,15.25,15.16
16,10.35,10.35,Bankrate,10.10,9.80
17,10.00,9.90,Bankrate,9.10,9.00
18,9.35,9.10,Bankrate,9.00,8.85
19,8.95,8.80,Bankrate,8.85,8.55
20,9.25,8.85,Bankrate,9.05,8.70
21,9.20,9.15,Bankrate,8.70,8.65
22,9.90,8.40,Bankrate,9.25,7.90
23,7.35,7.20,Bankrate,7.30,7.10
24,7.75,7.35,Bankrate,7.70,7.30
25,7.88,7.65,Bankrate,7.85,7.50
26,8.15,7.80,Bankrate,7.85,7.75
27,8.25,7.80,Bankrate,7.75,7.65
28,8.20,7.65,Bankrate,7.95,7.65
29,8.15,8.05,Bankrate,8.00,7.90
30,8.10,8.10,Bankrate,7.95,7.88
31,8.00,8.00,Bankrate,7.75,7.75
32,14.00,13.90,ChannelAdvisor Corporation,13.95,13.60
33,14.20,13.75,ChannelAdvisor Corporation,13.15,13.05
34,13.33,13.15,ChannelAdvisor Corporation,12.70,12.35
35,12.50,12.45,ChannelAdvisor Corporation,12.00,11.90
36,12.60,12.05,ChannelAdvisor Corporation,11.90,11.65
37,12.70,12.60,ChannelAdvisor Corporation,12.00,11.90
38,12.25,11.85,ChannelAdvisor Corporation,11.00,10.75
39,11.00,10.50,ChannelAdvisor Corporation,10.80,10.50
40,11.50,10.70,ChannelAdvisor Corporation,11.40,10.50
41,11.40,11.25,ChannelAdvisor Corporation,11.10,10.90
42,11.05,11.00,ChannelAdvisor Corporation,10.95,10.75
43,11.05,10.95,ChannelAdvisor Corporation,10.70,10.60
44,11.10,10.65,ChannelAdvisor Corporation,11.10,10.55
45,11.35,11.00,ChannelAdvisor Corporation,11.15,11.00
46,11.35,11.20,ChannelAdvisor Corporation,11.15,11.05
47,11.65,11.15,ChannelAdvisor Corporation,11.50,11.15
48,15.50,14.50,Workiva Inc.,15.40,14.40
49,15.45,15.25,Workiva Inc.,14.70,14.45
50,15.10,14.75,Workiva Inc.,14.60,14.05
51,16.90,16.50,Workiva Inc.,16.10,15.825
52,16.50,16.450001,Workiva Inc.,15.95,15.85
53,16.25,16.10,Workiva Inc.,15.60,15.35
54,15.75,15.35,Workiva Inc.,15.35,15.25
55,15.90,15.35,Workiva Inc.,15.75,15.35
56,16.200001,15.80,Workiva Inc.,16.00,15.75
57,16.450001,16.00,Workiva Inc.,16.450001,15.90
58,16.549999,16.549999,Workiva Inc.,16.10,16.00
59,16.299999,16.15,Workiva Inc.,16.00,16.00
60,16.50,16.049999,Workiva Inc.,16.450001,16.00
61,16.60,16.40,Workiva Inc.,16.450001,16.25
62,16.900999,16.60,Workiva Inc.,16.90,16.25
63,17.049999,16.90,Workiva Inc.,16.75,16.75
64,0.84,0.83,Renesola Ltd.,0.79,0.79
65,0.81,0.81,Renesola Ltd.,0.79,0.77
66,0.84,0.79,Renesola Ltd.,0.82,0.70
67,0.86,0.84,Renesola Ltd.,0.86,0.75
68,0.91,0.87,Renesola Ltd.,0.90,0.85
69,0.93,0.91,Renesola Ltd.,0.89,0.88
